Title,Author,Date,Excerpt
CBN cuts merchant banks' CRR to 10%,,"Jul 15, 2023",The Central Bank of Nigeria (CBN) on Friday revised the Cash Reserve Ratio (CRR) of merchant banks to 10 percent...
90% of African businesses neglect cybersecurity protocol - Dell,,"Jul 14, 2023","Businesses in Africa are a breath away from being hit by a cyber attack, as new a report from Dell..."
Access Bank to acquire Standard Chartered’s subsidiaries in five African countries,,"Jul 14, 2023","Standard Chartered has finalised an agreement to sell its subsidiaries in Angola, Cameroon, The Gambia, Sierra Leone, and its consumer,..."
"Curriculum, mastering limit Nigeria’s education system",,"Jul 14, 2023","Uriel Emmanuel applied for a job with a multinational firm as a computer science graduate. His resume got short-listed, and..."
CEOs outline steps to make Nigeria economic giant,,"Jul 14, 2023",Leaders from the private and public sectors who converged on Lagos Thursday to chart a course to growth and development...
20 state govts seek $540m AfDB funding for agro-industrial zones - Adesina,,"Jul 13, 2023",Twenty Nigerian states have expressed interest in accessing over half a billion dollars in international financing to create agro-industrial zones...
Nigeria can emerge 5th largest economy by 2075 – Mupita,,"Jul 13, 2023",Mupita said that Nigeria has what it takes to become one of the biggest economies in the world. This is...
Why Nigeria should not be poor - Adesina,,"Jul 13, 2023","A prosperous future can also be supported by a robust private sector to unlock wealth but for Nigeria, time is..."
How Edo is closing 50% gap in education - Obaseki,,"Jul 13, 2023","Godwin Obaseki, the governor of Edo State has said the state has set up parameters to play its part in..."
Nigeria's economic growth depends on operations of Dangote refinery -Kale,,"Jul 13, 2023","Yemi Kale, Partner and Chief Economist, KPMG in Nigeria noted the Nigeria’s economic growth is dependent on the operations of..."
Automotive sector the lowest employer of labour - Autochek CEO,,"Jul 13, 2023","Etop Ikpe,Chief Executive Officer, Autochek Africa, noted that the automotive sector is the lowest employer of labour. He said this..."
Sanusi weighs in on Ecobank vs Otudeko saga,,"Jul 13, 2023","Sanusi Lamido Sanusi, former governor of the Central Bank of Nigeria, has affirmed that the ruling of the Bankers’ Committee..."
Nigeria repays last tranche of $500m Eurobond borrowed by Jonathan,,"Jul 12, 2023",Nigeria reaffirmed its commitment to meeting its debt service obligations after the government on Wednesday redeemed a $500 million Eurobond...
Nigeria expects $20bn foreign direct investments as oil projects get green light,,"Jul 12, 2023",Nigeria’s oil sector may see between $18 and $20 billion worth of investments as oil companies try to restart previously...
Airlines' funds face no delays on FX reforms,,"Jul 12, 2023","Some foreign airlines operating in Nigeria have commenced the repatriation of the revenues from their recent ticket sales, following the..."
Rising cost push PoS agents to the edge,,"Jul 12, 2023","The more than a million banking agents that have embraced Point of Sale (PoS) terminals of operators like OPay, PalmPay,..."
Explainer: How Bankers committee ruled in favour of Otudeko in unending saga with Ecobank,,"Jul 12, 2023",The latest legal tussle between Ecobank Nigeria Limited and Honeywell Group over an alleged N5 billion debt appears to have...
FMDQ exchange-traded derivatives market goes live,,"Jul 12, 2023","Today marks yet another significant milestone in the Nigerian financial markets as FMDQ Securities Exchange Limited and FMDQ Clear Limited,..."
How two Chinese fintechs clinched Nigeria's PoS market,,"Jul 12, 2023","OPay and Palmpay, two Chinese-owned digital banking platforms, are leading the Point of Sale (PoS) market in Nigeria, with both..."
More banks use tech to unsettle black-market forex business,,"Jul 12, 2023",More Nigerian banks are creating mobile applications (apps) or internet banking where customers can convert their dollars and other foreign...
PoS charges seen slowing Nigeria’s financial inclusion drive,,"Jul 12, 2023","The recent hike in service charges for Point of Sales (PoS) transactions may increase the number of unbanked Nigerians, especially..."
"Low research volume, investment worsen Nigeria's healthcare outcomes",,"Jul 11, 2023","Nigeria’s low volume and poor investments in medical research are worsening healthcare outcomes in the country, the Scientific Products Association..."
Commercial papers up 89% in H1 as firms raise N789 bn,,"Jul 11, 2023","The issuance of commercial papers in Nigeria surged by 89 percent in the first half of 2023, with firms raising..."
Tinubu appoints 20 new aides,,"Jul 11, 2023",President Bola Tinubu may have further strengthened his administrative machinery with the appointment of 20 personal aides. The list of...
Builders want increased investment to achieve 70% infrastructure stock,,"Jul 11, 2023","To push its infrastructure stock from the present 30-35 percent to 70 percent, Nigeria needs to invest about $2.3 trillion..."
"NGX suspends trading in shares of Ardova, Presco, Royal Exchange, others",,"Jul 11, 2023",The Nigerian Exchange Limited (NGX) has notified the investing public that trading in the shares of the seven (7) companies....
Nigeria’s oil production at risk on renewed militancy,,"Jul 11, 2023",Nigeria’s rising oil output could suffer disruption as a new group of Niger Delta militants calling themselves the ‘Creek Reform...
Investors reap big on 2016 large-cap stocks bet,,"Jul 11, 2023",Investors who bought shares of some large-cap firms in 2016 when their prices were low have seen the value of...
Caregiving industry gains traction as ‘japa' wave drives demand,,"Jul 11, 2023","The mass exodus of Nigerians to foreign countries, commonly called ‘japa’ (a Yoruba word for “run quickly”), is creating opportunities..."
Ecobank demands rejection of Otudeko’s First Bank comeback over N13.5bn debt,,"Jul 11, 2023",Ecobank Nigeria Limited has demanded the rejection of the recent acquisition of FBN Holdings shares by an entity associated with...
Airport managers deploy 'thugs' to harass users over traffic rules,,"Jul 10, 2023","In recent times, air passengers and airport users have faced various forms of intimidation, harassment, and extortions from thugs deployed..."
"Amazon, Netflix’s battle for Nigeria viewers relegates local streamers",,"Jul 10, 2023","The streaming wars are heating up in Nigeria, as Amazon Prime Video and Netflix battle for viewers, with local streamers..."
Nigerian Banks lost N472m to fraud activities in Q1,,"Jul 10, 2023",A new report on Fraud and Forgeries in the Nigerian Banking System shows that fraudulent activities in Africa’s largest economy...
Otudeko’s First Bank comeback sparks fresh battle for control,,"Jul 10, 2023","The recent acquisition of FBN shares by an entity associated with Oba Otudeko, an erstwhile chairman of the bank has..."
Inside Tinubu's first 40 days,,"Jul 10, 2023","President Bola Tinubu’s first 40 days in office contrasted sharply with that of his predecessor. For Muhammadu Buhari, success at..."
Uncertainty grips agencies' heads as Tinubu moves fast on governance,,"Jul 10, 2023","President Bola Tinubu’s fast-paced policy implementation and recent actions have put heads of agencies on their toes, with uncertainty gripping..."
Expectation high as Nigeria’s new security chiefs talk tough,,"Jul 09, 2023","Last week, Nigeria’s President, Bola Ahmed Tinubu instructed his newly appointed security chiefs to work together to end the unyielding..."
"How huge, needless pension for govs, deputies strains states' finances",,"Jul 09, 2023","The issue of ex-Nigerian governors’ and deputy governors’ pensions and allowances has continued to raise concerns among citizens. At least,..."
"Withdrawal of Police from VIPs: Good policy, but ill-timed — Experts",,"Jul 09, 2023","The Acting Inspector-General of Police (IGP), Olukayode Egbetokun’s recent announcement to withdraw personnel of the Police Mobile Force (PMF) from..."
How insecurity in Katsina pushed Buhari into 'exile' to UK,,"Jul 09, 2023","If you are abroad, particularly in the United Kingdom, you may likely bump into one or two top ex-government officials,..."
"Obaseki, Adesina, Mupita, others headline BusinessDay CEO Forum Thursday",,"Jul 08, 2023","BusinessDay Media Limited, Nigeria’s influential and respected source of business news and analysis, is set to hold its annual CEO..."
Exclusive: Otudeko’s Honeywell informs regulator of massive acquisition of FBN shares,,"Jul 08, 2023","It is official. Honeywell group held by Oba Otudeko, has just notified the regulatory authorities of its acquisition of an..."
"Nigeria rail stutters on passenger decline, rising dollar debt",,"Jul 08, 2023","Ibrahim Idris, a 35-year-old businessman, is one of the many people who have stopped using trains since the last attack..."
Buhari left Tinubu blueprint to save N260bn yearly by cutting govt cost,,"Jul 07, 2023","Former President Muhammadu Buhari, in his last full year as the country’s leader received a report on the review of..."
"Flush with Honeywell cash, Otudeko snaps up record First Bank shares",,"Jul 07, 2023","Oba Otudeko, the chairman of Nigerian conglomerate Honeywell Group, has been identified by multiple sources as the buyer of the..."
How 'Ajo' system thrives amid digital payment growth,Francis Onyemachi,"Jul 07, 2023","Afaemefule Obi, a 37-year-old Boutique owner at Ilewe Ejigbo, who registered with the traditional saving system known as ‘Ajo’ where..."
10 Ways to avoid property scams as a Lagosian,BusinessDay,"Jul 07, 2023","Buying a property in Lagos state can be an exciting venture. The bustling city, with its vibrant culture and booming..."
Tinubu eases throttle on taxes,BusinessDay,"Jul 07, 2023","President Bola Tinubu has put the brakes on the implementation of some of the tax changes made by his predecessor,..."
Naira windfall for oil firms as CBN lifts dollar restrictions,Lolade Akinmurele,"Jul 06, 2023",International Oil Companies (IOCs) in Nigeria will get more naira for their dollar earnings after the Central Bank on Wednesday...
More trouble for importers as Customs adjusts exchange rate to N770.88/$,Amaka Anagor-Ewuzie,"Jul 06, 2023","Less than two weeks after the Nigeria Customs Service (NCS) adjusted the exchange rate for cargo clearing at the port,..."
Oil companies resume dollar sales to banks as CBN eyes supply,Lolade Akinmurele,"Jul 06, 2023",The Central Bank of Nigeria (CBN) has permitted International Oil Companies (IOCs) to resume the sale of US dollars to...
"Tinubu reviews Finance Act 2023, signs 4 Executive Orders",Anthony Ailemen,"Jul 06, 2023","President Bola Tinubu on Thursday signed four different Executive Orders, including the one that suspends the 2023 Finance Act deferring..."
First negative FDI in 33yrs piles pressure on Tinubu,Bunmi Bailey,"Jul 06, 2023","Foreign Direct Investment (FDI) inflows into Nigeria turned negative last year for the first time in at least 33 years,..."
FG’s 241% recurrent budget bump exposes bloated bureaucracy,Oladehinde Oladipo,"Jul 06, 2023","The federal government increased its budget for personnel expenses, pensions and other recurrent expenditure by 241 percent in 13 years,..."
"Overland, United Nigeria, Azman, record highest number of flight delays in Q1 2023",Ifeoma Okeke-Korieocha,"Jul 05, 2023","Overland Airways, United Nigeria Airways and Azman Air were the carriers with the highest number of flight delays in the..."
Telecoms investment hit $75.56bn in 2021,,"Jul 05, 2023","Foreign Direct Investment (FDI) and local investment in Nigeria’s telecommunications sector grew to $75.56 billion in 2021, driven by an..."
"Geometric’s 24 hours power supply for Aba to start within 2 Months, Says Prof Nnaji",,"Jul 05, 2023","The 188-megawatt Geometric Power plant in the Osisioma Industrial Layout in Aba, Abia State, will start to generate electricity within..."
Tinubu closes defence in Obi’s petition with one witness,,"Jul 05, 2023","The legal team of President Bola Tinubu, Vice President Kashim Shettima have closed defence in the petition filed by the..."
CBN’s unsettled FX backlog puts investors on hold,,"Jul 05, 2023",The Central Bank of Nigeria (CBN)’s gaping unsettled foreign exchange backlog owed to local businesses is hurting confidence in its...
Nigeria’s foreign direct inflows turn negative for first time since 1995,,"Jul 05, 2023","Foreign Direct Investment (FDI) inflows into Africa’s biggest economy turned negative in 2022 for the first time since 1995, according..."
Tertiary institutions hike fees on rising operational costs,,"Jul 05, 2023",Nigerian universities are drastically increasing fees this year owing to the recent subsidy removal that has shot-up their operational costs...
Global race for talent heightens 'japa' wave,,"Jul 05, 2023",The global race for talent looks set to ramp up the exodus of Nigerian professionals as Canada and Germany recently...
How Nigeria can turn brain drain to gain,Bunmi Bailey,"Jul 05, 2023","When Bill Gates, Microsoft’s co-founder, visited Nigeria last month, he said the current migration of young Nigerian professionals was good..."
"Beef, rice, yam prices surge on accelerating inflation",Damilola Odifa,"Jul 04, 2023","Prices of beef, rice, yam and tomatoes surged the most in May 2023 on accelerating inflation, data from the National..."
Tinubu rallies global financial institutions for Nigeria’s gas,Anthony Ailemen,"Jul 04, 2023",President Bola Ahmed Tinubu on Tuesday urged global financial institutions to partner with Nigeria in ensuring that the country’s gas...
"Bamidele, Umahi, others emerge Senate leaders",,"Jul 04, 2023","Senator representing Ekiti central, Opeyemi Bamidele has emerged the majority leader of the senate while David Umahi, senator representing Ebonyi..."
INEC closes defence in Obi’s petition after calling one witness,,"Jul 04, 2023",The Independent National Electoral Commission (INEC) has closed its defence in the petition filed by the Labour Party and its...
Tinubu's reforms seen moving economic outlook back to stable,,"Jul 04, 2023",The economic outlook for Nigeria is expected to be stable thanks to a number of reforms implemented by President Bola...
"Akpabio names new principal officers in 10th Senate, House of Representatives",,"Jul 04, 2023","Godswill Akpabio, Senate president, has announced the principal officers of the 10th Senate who were selected through a consensus. Senator..."
"Naira devaluation, FX up prices of new cars by at least 142% in 4yrs",,"Jul 04, 2023",Prices of cars in Nigeria especially brand-new cars have skyrocketed in the last four years due to the naira devaluation...
Banks’ credit rises by N4.54trn in one year,,"Jul 04, 2023",The banking industry total credit increased by N4.54 trillion or 17.40 percent between the end of April 2022 and the...
Oronsaye report to test Tinubu’s cost-cutting champions,,"Jul 04, 2023","During a budget consideration meeting three years ago, Femi Gbajabiamila, the then Speaker of the House of Representatives, called for..."
Farmers' N518bn default shows anchor borrowers underbelly,,"Jul 04, 2023",The failure of farmers in Africa’s biggest economy who benefitted from the Anchor Borrowers Programme to repay about N518 billion...
Why over 60% of Nigeria’s land lacks titles,,"Jul 03, 2023","It is estimated that over 60 percent of Nigeria’s total land area measuring 923,000 square kilometres are without formal titles,..."
Defaulting employers pay N24bn unremitted pensions,,"Jul 03, 2023","Pension recovery agents have recovered a total of N24.5 billion of unremitted pensions and its penalties, according to data from..."
Absence of witnesses stalls INEC’s defence in Obi's Petition,,"Jul 03, 2023",The absence of a witnesses has stalled   the Independent National Electoral Commission (INEC) defence in the petition filed by the...
"Nigerian banks pay N1.39bn as audit fees to PwC, KPMG, EY, Deloitte",,"Jul 03, 2023",Seven commercial banks listed on the Nigerian Exchange Group paid a total of N1.39 billion to auditing firms in the...
"CBN, NSA silent after BusinessDay exposes $616m dark dealings",,"Jul 03, 2023",The Central Bank of Nigeria (CBN) and the Office of the National Security Adviser (NSA) are silent over transfers totalling...
Squandermania: 100-car convoy puts Tinubu on the spot,,"Jul 03, 2023","A large amount of petrol was squandered while welcoming President Bola Tinubu from an investment summit in France, weeks after..."
10.41 million Nigerians fall into poverty under APC,,"Jul 03, 2023","More than 10 million Nigerians have fallen into poverty in the last eight years, according to data obtained by BusinessDay...."
Tinubu must reform public sector to drive development,,"Jul 03, 2023",Domestic policies of the President Muhammadu Buhari administration played more than a significant role in impeding Nigeria’s pre-2014 economic performance....
Tariff hike: Nigerians in panic bulk energy buying,,"Jul 02, 2023",Confusing signals emanating from electricity distribution companies (DisCos) in the country and the Nigerian Electricity Regulatory Commission (NERC) are keeping...
Families in cost-cutting measures to beat hard times in Nigeria,,"Jul 02, 2023","Times are hard. Nigerians are adopting cost-cutting measures to stay afloat. These measures differ from one individual to another, and..."
"Lavish lifestyle: Obi chides Tinubu, others",,"Jul 02, 2023",As Nigerians continue to grapple with the pains of the reforms embarked upon by the new administration of President Bola...
"Nigeria lags SA, Egypt for software developers",,"Jul 01, 2023","Nigeria is behind South Africa and Egypt in sourcing software development talent in Africa, according to a report by Tunga,..."
Here are six times you can draw from your pension,,"Jul 01, 2023",Contributors under the Contributory Pension Scheme are entitled to withdraw portions of the balance in their Retirement Savings Accounts (RSAs)...
"Moody, S&P, Fitch upgrades in sight for Nigeria on economic overhaul",,"Jun 30, 2023",The early moves by President Bola Tinubu to put the country on a more orthodox economic trajectory could earn Nigeria...
Baby-making racket exploits Nigerian women,,"Jun 30, 2023","A home cleaner in Lagos, identified simply as Mariam, was forced into unplanned parenthood after a baby she thought she..."
I won presidential election despite confiscation of my fund — Tinubu,,"Jun 29, 2023","President Bola Tinubu on Thursday in Ijebu-Ode, Ogun State, said he remained hopeful and optimistic about achieving victory in the..."
Bank of America says naira now undervalued after float,,"Jun 29, 2023","The Nigerian naira has moved from being overvalued to undervalued following the government’s long-awaited foreign exchange reform, analysts at US-based..."
World Bank reviews upward Nigeria’s growth prospects to 3.3% for 2023,,"Jun 29, 2023","The World Bank has reviewed upward, growth prospects for Nigeria’s economy in 2023 and beyond following the federal government’s decision..."
"Nigerians suspend travel to US, Europe as economy tickets hit N2.2m",,"Jun 28, 2023","In recent times, Nigerians have had to suspend their travel plans to the United States and Europe as a result..."
"CBN, NSA exposed in $616m dark dealings",,"Jun 28, 2023",The Central Bank of Nigeria (CBN) made multiple transfers totalling $616 million to the office of the National Security Adviser...
"World Bank, IMF, others back Tinubu’s economic reforms",,"Jun 28, 2023",The World Bank and the International Monetary Fund (IMF) have lauded President Bola Tinubu’s decision to carry out what they...
"Tinubu arrives Lagos from Paris, London trip",,"Jun 27, 2023","President Bola Tinubu returns to Nigeria after trips to Paris, London and arrives in Lagos. Read also:Tinubu returns today, to..."
Sallah celebration muted as Nigerians battle rising cost,,"Jun 27, 2023",The recent hike in petrol prices and surging food prices are set to dampen the Sallah celebration – Eid-el Kabir...
Pate's Gavi resignation fuels ministerial appointment talk,,"Jun 27, 2023",Nigerian health expert Muhammad Pate has stepped down as the next chief executive officer of Gavi. Close sources say he...
"N4.4trn cash bonanza for FG, others as FAAC gets boost",,"Jun 27, 2023","A top-level committee representing the entire federation and chaired by Charles Soludo, Anambra State governor, has held two meetings since..."
Bank stocks race to 6-yr high on FX reforms,,"Jun 27, 2023",Nigeria’s banking stocks are heading for a six year high as investors cheer the Central Bank of Nigeria’s foreign exchange...
World Bank sees N3.9trn savings for Nigeria with subsidy removal,,"Jun 27, 2023","The World Bank has projected that Nigeria will save N3.9 trillion in 2023 following subsidy removal and FX unification move,..."
"Tinubu returns today, to spend Sallah in Lagos",,"Jun 27, 2023","President Bola Tinubu is expected back in the country today, Tuesday, ahead of the Sallah celebration. Last Friday, the president..."
"Businesses groan as checkpoints, illegal tolls on roads inflate cost",,"Jun 27, 2023","For Itunu Shonibare, a Lagos-based truck owner, the trucking business is becoming less attractive due to the illegal tolls collected..."
"How weaker naira could affect multinationals' finance, input costs",,"Jun 27, 2023",The devaluation of the naira is expected to have a significant impact on the borrowing and input costs of multinational...
"Banks credit to government drops, as currency in circulation rises by 6.32%",,"Jun 26, 2023","Money supply, also known as M3, has dropped by 0.43 percent in one month according to the Central Bank of..."
Tinubu risked election loss if Buhari removed subsidy - Garba Shehu,,"Jun 26, 2023",Former President Muhammadu Buhari did not implement the removal of subsidy on petroleum product because he feared that the All...
How subsidy removal in Nigeria has impacted petrol prices across West Africa,,"Jun 26, 2023","Petrol prices across neighbouring West African countries have risen since Nigeria removed subsidies on petrol, surging over 40 percent across..."
FX unification to alleviate pressure on foreign reserves,,"Jun 26, 2023","The unification of Nigeria’s foreign exchange rates is expected to bring many positive results, including lowering the pressure on foreign..."
"Nigeria torn between low interest rates, strong naira as foreigners swirl",,"Jun 26, 2023",It’s 2016 all over again in Nigeria. Africa’s biggest economy is once again torn between achieving low interest rates and...
Seven ways Nigeria can attract dollars after naira float,,"Jun 26, 2023",There are at least seven things Nigeria can do to improve dollar liquidity in its foreign exchange market after a...
FMDQ set to go live with exchange-traded derivatives,,"Jun 25, 2023","FMDQ Securities Exchange Limited, a wholly owned subsidiary of FMDQ Group PLC, with the support of the Securities and Exchange..."
Nigerians tell politicians to share in pain of reforms,,"Jun 25, 2023","From visiting home thrice a week, Akeem Olabode, a laboratory assistant with a private hospital in Lekki Phase 1, Lagos,..."
"Insecurity: Assign specific timelines to Service Chiefs, experts urge Tinubu",,"Jun 25, 2023","Security experts have advised President Bola Ahmed Tinubu to assign timelines to his security team if the war against bandits,..."
The 'banana peels' that Tinubu must avoid,,"Jun 25, 2023",“Banana peels” were words that were prominent during Olusegun Obasanjo’s administration between 1999 and 2007. The words were used particularly...
Tinubu proceeds to UK on private visit,,"Jun 24, 2023","President Bola Tinubu has proceeded to London, United Kingdom on a private visit. The President who on Friday concluded his..."
Emefiele made a few rich and rest of Nigerians poorer says Tinubu in first response to CBN saga,,"Jun 24, 2023","  Suspended Governor of the Central Bank Godwin Emefiele made a few connected people wealthy while Nigerians became poorer, President..."
World Drug Day: Nigeria's drug war hits roadblock as new varieties emerge,,"Jun 24, 2023","The increasing availability of new varieties of illicit drugs, the ease of access, and relatively low cost are complicating Nigeria’s..."
Poor subsidy removal interventions can worsen inflation - Experts,,"Jun 23, 2023",If cash handouts form the basis for the government’s plan to introduce interventions that will cushion the impact of petrol...
"Tribunal admits Chicago University, NYSC certificates as evidence against Tinubu",,"Jun 23, 2023","The Presidential Election Petitions Court on Friday, admitted in evidence, Certified True Copies of the academic qualifications of President Bola..."
"Petrol marketers, regulator see mergers as competition begins",,"Jun 23, 2023",The deregulation of the downstream petroleum sector following the removal of petrol subsidy is expected to spur mergers and acquisitions...
MTN demands board meeting over rift with IHS,,"Jun 23, 2023","MTN, which holds about 85.2 million (26 percent) of IHS Towers, one of the largest providers of telecommunications infrastructure in..."
FMCG firms’ profit margin drops to 10-year low,,"Jun 23, 2023","The profit margins of fast-moving consumer goods (FMCG) firms in Nigeria have hit their lowest level in 10 years, BusinessDay’s..."
Explainer: How Nigeria can curb crude oil theft,,"Jun 22, 2023","Africa’s biggest oil producer has long grappled with the menace of crude oil theft, which has had detrimental effects on..."
"What Lagos demolition binge means for residents, businesses, economy",,"Jun 22, 2023","The Lagos State government has, in the last few months, embarked on what has been described as demolition binge, bringing..."
Politicians' habits unchanged as Nigerians bear economic reform pain,,"Jun 22, 2023","Barely six days after Godwin Akpabio’s inauguration as Senate president, his security aides were seen riding expensive exotic power bikes..."
"Tinubu joins world leaders in Paris to tackle poverty, debt burden",,"Jun 22, 2023","President Bola Ahmed Tinubu Thursday in Paris-France joined world leaders on the consensus for redesigning the global financial architecture, which..."
Here are highest-paid female CEOs of listed Nigerian firms,,"Jun 22, 2023",The corporate world has come a long way when it comes to recognising the leadership abilities of women. For too...
Women leadership key to closing gender gaps in finance,,"Jun 22, 2023",The Nigerian finance industry has seen an increase in the number of women leaders in recent years and sustaining the...
Air fares seen rising as exchange rate hits N770/$,,"Jun 21, 2023",Cost of air fares from Nigeria to various destinations is set to rise by over 50 percent as exchange rate...
U.S indicates interest in Nigeria’s energy transition,,"Jun 21, 2023","The United States of America (USA) has expressed interest in partnering with Nigeria in its energy transition, security, access and..."
How data made Davido’s O2 concert an online hit,,"Jun 21, 2023","David Adedeji Adeleke (Davido)’s We Rise By Lifting Others (WRBLO) concert at the 02 Arena, in London, may have come..."
High expectations as Tinubu assembles security team,,"Jun 21, 2023",Experts in the security sector have said the newly appointed service chiefs must hit the ground running and salvage the...
Analysis: Tinubu's inclusive national security team on spotlight,,"Jun 21, 2023",“We shall save the nation from terror and all forms of criminality that threaten the peace and stability of our...
Explainer: How to prepare for weaker naira,,"Jun 20, 2023","Since the removal of the peg on the exchange rate by the Central Bank of Nigeria (CBN), the naira has..."
"Meet Lagbaja, Ogalla, Abubakar, Nigeria's service chiefs",,"Jun 20, 2023","President Bola Tinubu has appointed new Service Chiefs after approving the immediate retirement of all the incumbent Service Chiefs, Advisers..."
Tinubu appoints new Service Chiefs,,"Jun 20, 2023","President Bola Tinubu has appointed new Service Chiefs, after sacking all the incumbent Service Chiefs, Advisers and Comptroller General of..."
DisCos' plan to buy power from GenCos hits hurdles,Isaac Anyaogu,"Jun 20, 2023",Electricity sector operators are negotiating bilateral contracts to enable power purchase agreements in the contract market phase set to begin...
FX liquidity seen as CBN lifts dom account restrictions,Hope Moses-Ashike,"Jun 20, 2023",The foreign exchange market is expected to witness increased liquidity following the removal of restrictions on domiciliary accounts by the...
Tax bill: FG gives ship owners 3 months to balance account,Anthony Ailemen,"Jun 19, 2023","The Federal Government, has given a three-month grace period to owners of vessels to clear their ten years outstanding tax..."
Old problems seen as clog on student loan repayment,Charles Ogwo,"Jun 19, 2023",The surging unemployment rate and the prospect of high default rate as seen in the past have been identified as...
States to earn more naira after exchange rate reform,Gbemi Faminu,"Jun 19, 2023","Disbursement from the Federation Account Allocation Committee (FAAC) to the federal, state and local governments will rise on the back..."
Tinubu puts Nigeria back on the map as investors weigh reforms,Lolade Akinmurele,"Jun 19, 2023","“The excitement about the new president and his reforms is palpable,” a senior banker at a U.K-based financial institution told..."
"All schools fees, PTA, others eligible for I&E window, says CBN",Kelvin Okojie,"Jun 18, 2023","The Central Bank of Nigeria (CBN) on Sunday said that among other things, all Business Travel Allowances (BTA), Personal Travel..."
"Cost of governance: Prune down ministries now, experts tell Tinubu",Nosa Igbinadolor,"Jun 18, 2023","Consistent with some positive steps already taken, observers have advised President Bola Ahmed Tinubu to urgently reduce the cost of..."
How crude oil export terminal licence granted Belemaoil may change Nigeria’s oil export game,Ignatius Chukwu,"Jun 18, 2023",Insiders have said that the licence granted to Belemaoil to build a crude oil export terminal in Kula end of...
"Tinubu told to target $60bn FX reserves, exchange rate of N600/$",BusinessDay,"Jun 17, 2023",For Nigeria to target an exchange rate of between 500 and 600 naira to the dollar the country would equire...
Nigerian brewers get tech-savvy as global peers,,"Jun 17, 2023","Faced with rising competition and a plethora of environmental and social challenges, Nigerian and global brewers are adopting technologies to..."
"""Notorious"" army and naval kingpins involved in oil theft - Dokubo",,"Jun 16, 2023","Leader of the Niger Delta Volunteer Force, Asari Dokubo, on Friday, volunteered to work with other groups to stop the..."
"Court orders DSS to grant Emefiele access to family, lawyers",,"Jun 16, 2023","The Director General of the Department of State Security Service, (DSS) has been ordered to grant Godwin Emefiele, the suspended..."
Standard Chartered sees naira at N685/$ by end of June as reforms speed up,,"Jun 16, 2023",Standard Chartered Bank sees the naira trading at N685 per US dollar by the end of June as Nigeria quickens...
Tinubu’s advisors outline to-do list for $1 trillion economy,,"Jun 16, 2023","With a roadmap in place, the Policy Advisory Council of the new administration of President Bola Tinubu has put forward..."
Nigeria’s multi-billion dollar sorghum market attracts global brewers,,"Jun 16, 2023","Douala, Cameroon|| Nigeria has an opportunity to profit from the multi-billion dollar sorghum market as global beer makers are canvassing..."
AI seen reversing $879bn loss to poor health,,"Jun 16, 2023","If leveraged to effectively tackle challenges such as the rural-urban gap in specialist care across Nigeria, artificial intelligence (AI) can..."
"Tinubu names Wale Edun, Special Adviser Monetary policy",,"Jun 15, 2023",President Bola Tinubu has appointed Wale Edun as his Special Adviser in charge of Monetary Policies. This is as the...
Nigeria’s inflation rate climbs for 5th straight month in May,,"Jun 15, 2023","Nigeria’s headline inflation rate accelerated for the fifth consecutive time to 22.41 percent in May, according to data by the..."
"In twist of fate, EFCC chair, Abdulrasheed Bawa, detained, questioned by DSS",,"Jun 15, 2023","The suspended chairman of the Economic and Financial Crimes Commission (EFCC), Abdulrasheed Bawa is Thursday morning having a taste of..."
Market thirsts for dollar supply after naira float,,"Jun 15, 2023",The next step for Nigeria after a bold first move towards unifying the country’s problematic multiple exchange rates is to...
10 things Nigerians dislike about international flights from Lagos,,"Jun 15, 2023","The Murtala Muhammed International Airport, (MMIA) Lagos, handles more traffic than other airports in Nigeria, yet the passenger experience has..."
Nigeria seen losing 300 dollar millionaires this year,,"Jun 15, 2023","Nigeria, Africa’s biggest economy, is expected to see the exit of 300 dollar millionaires this year; up from 200 in..."
CBN publishes operational guidelines for deregulated FX market,,"Jun 14, 2023",The Central Bank of Nigeria (CBN) has published its operational guidelines governing transactions on the FX market after the floatation...
CBN merges FX segments into I&E window,,"Jun 14, 2023",The Central Bank of Nigeria (CBN) on Wednesday collapsed all segments of foreign exchange markets into the Investors and Exporters...
"Tinubu suspends Bawa, EFCC chairman indefinitely",,"Jun 14, 2023","President Bola Tinubu has approved the indefinite suspension of AbdulRasheed Bawa as the Chairman, Economic and Financial Crimes Commission (EFCC)...."
Nigeria officially floats naira as I&E rate hits N755/$,,"Jun 14, 2023",Nigeria has officially floated its naira currency after years of sticking with a hard peg that spooked investors and drained...
Naira float may force NNPCL to review petrol prices,,"Jun 14, 2023",The removal of the peg on the naira thus allowing for a free float will force a review of the...
Focus shifts to Tinubu’s cabinet as Akpabio emerges Senate president,,"Jun 14, 2023",If President Bola Tinubu needed any reminder of the role his cabinet members and other appointees will play in resetting...
Why Lekki tops destinations for investment in apartments,,"Jun 14, 2023","On an incremental basis, Lekki, an upscale location in Lagos, is gaining recognition and acceptance as a destination for investment..."
Nigeria’s biggest oil pipeline records zero crude loss in May,,"Jun 13, 2023","Crude oil production transported through the Trans-Niger Pipeline (TNP) into the Bonny terminal did not record any losses in May,..."
"Tajudeen Abbas defeats Wase, Jaji, emerges speaker",,"Jun 13, 2023",Tajudeen Abbas from Kaduna State has emerged as the Speaker of the House of Representatives of the 10th National Assembly....
